OBJECTID,NAME,NAME_FR,FACILITY_GROUP_NAME,FACILITY_GROUP_NAME_FR,ADDRESS,ADDRESS_FR,SEASONAL,SEASON_START,SEASON_END,HOURS_SUNDAY_OPEN,HOURS_SUNDAY_CLOSED,HOURS_SUNDAY_SPECIAL,HOURS_MONDAY_OPEN,HOURS_TUESDAY_OPEN,HOURS_TUESDAY_CLOSED,HOURS_TUESDAY_SPECIAL,HOURS_WEDNESDAY_OPEN,HOURS_WEDNESDAY_CLOSED,HOURS_WEDNESDAY_SPECIAL,HOURS_THURSDAY_OPEN,HOURS_THURSDAY_CLOSED,HOURS_THURSDAY_SPECIAL,HOURS_FRIDAY_OPEN,HOURS_FRIDAY_CLOSED,HOURS_FRIDAY_SPECIAL,HOURS_SATURDAY_OPEN,HOURS_SATURDAY_CLOSED,HOURS_SATURDAY_SPECIAL,STAT_HOLIDAY_AVAILABILITY,CHANGE_STATION_CHILD,CHANGE_STATION_ADULT,FAMILY_TOILET,ACCESSIBILITY,REPORT_TELEPHONE,SPECIAL_TOILET_TYPE,X_COORDINATE,Y_COORDINATE,JURISDICTION,HOURS_MONDAY_CLOSED,HOURS_MONDAY_SPECIAL,HOURS_SUNDAY_SPECIAL_FR,HOURS_MONDAY_SPECIAL_FR,HOURS_TUESDAY_SPECIAL_FR,HOURS_WEDNESDAY_SPECIAL_FR,HOURS_THURSDAY_SPECIAL_FR,HOURS_FRIDAY_SPECIAL_FR,HOURS_SATURDAY_SPECIAL_FR
11,Beacon Hill North Recreation Centre,Centre récréatif de Beacon Hill Nord,NA,NA,2132 Radford Crt,"2132, cour Radford",1,JUN,AUG,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.59917072,45.45923291,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
12,Dumaurier Park,Parc Dumaurier,NA,NA,2850 Dumaurier Ave.,"2850, av. Dumaurier",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.79275125,45.35146977,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
13,W.C. Levesque Fields,Terrains W.-C.-Levesque,NA,NA,52 Riverstone Dr.,"52, prom. Riverstone",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.72838325,45.26212963,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
14,Harkness Park,Parc Harkness,NA,NA,6020 Piperville Rd.,"6020, ch. Piperville",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.46460951,45.36515293,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
15,Grenfell Glen Park,Parc Grenfell Glen,NA,NA,53 Avonlea Rd.,"53, ch. Avonlea",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.73243097,45.31564964,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
16,Lytle Park (Nepean),Parc Lytle (Nepean),NA,NA,4401 O'Keefe Crt.,"4401, cour O'Keefe",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.79294885,45.27457243,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
17,Leslie Armstrong Park and Bearbrook Community Hall,Parc Leslie-Armstrong et salle communautaire de Bearbrook,NA,NA,8720 Russell Rd,"8720, ch. Russell",1,MAY,JUL,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.33722548,45.38355049,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
18,De la Salle Public High School,École secondaire publique De la Salle,NA,NA,501 Old St. Patrick St.,"501, rue St. Patrick",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.68424578,45.43501428,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
19,Point Restaurant Road Allowance,NA,NA,NA,Bishop Davis Dr. at Lane St.,prom. Bishop Davis à rue Lane,1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-76.07641075,45.49897919,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
20,Laroche Park,Parc Laroche,NA,NA,52 Bayview Rd.,"52, ch. Bayview",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.72780483,45.4087743,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
21,Harkness Park,Parc Harkness,NA,NA,6020 Piperville Rd.,"6020, ch. Piperville",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.46462782,45.36514881,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
22,Lytle Park (Nepean),Parc Lytle (Nepean),NA,NA,4401 O'Keefe Crt.,"4401, cour O'Keefe",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.79298433,45.27456622,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
23,Leitrim Park,Parc Leitrim,NA,NA,3290 Leitrim Rd.,"3290, ch. Leitrim",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.59402586,45.32970958,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
24,Munster North Park,Parc Munster Nord,NA,NA,2778 Munster Rd.,"2778, ch. Munster",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.94470122,45.16780019,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
25,Boat Launch Road Allowance,NA,NA,NA,Ritchie Ave. at Bayview Dr.,av. Ritchie à prom. Bayview,1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-76.10457655,45.49987098,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
26,Auger's Beach Road Allowance,NA,NA,NA,Bayview Dr,prom. Bayview,1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-76.08586716,45.50610773,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
